class,kind,abstract,NOA,NOM,CIS,DAM,WMC,RFC,CBO,DCC,MPC,DAC,MOA,LCOM,CAM,DIT,NOC,ANA,MFA,NOP,NOP_strict
org.jfree.chart.editor.DefaultChartEditorFactory,class,0,0,1,1,,2,1,4,1,0,0,0,0,1.0,1,0,0,0.0,0,0
org.jfree.chart.editor.DefaultColorBarEditor,class,0,7,4,3,1.0,10,32,6,2,9,2,2,2,0.375,3,0,2,0.8519,2,2
org.jfree.chart.editor.DefaultNumberAxisEditor,class,0,10,12,10,1.0,28,46,3,2,5,0,0,28,0.1111,2,1,1,0.52,2,2
org.jfree.chart.editor.DefaultPlotEditor,class,0,18,14,8,1.0,68,64,9,4,27,4,4,75,0.0714,1,0,0,0.0,0,0
org.jfree.chart.editor.DefaultTitleEditor,class,0,9,9,7,1.0,19,43,3,2,9,0,0,24,0.1111,1,0,0,0.0,0,0
org.jfree.chart.editor.PaletteChooserPanel,class,0,1,1,1,1.0,2,7,3,1,1,0,0,0,,1,0,0,0.0,0,0
org.jfree.chart.editor.PaletteSample,class,0,2,5,5,1.0,8,18,1,1,0,1,1,8,0.2,1,0,0,0.0,0,0
org.jfree.chart.encoders.EncoderUtil,class,0,0,8,8,,8,10,2,0,16,0,0,28,0.7,1,0,0,0.0,0,0
org.jfree.chart.encoders.ImageEncoder,interface,0,0,6,6,,6,6,0,0,0,0,0,15,0.2083,1,0,0,0.0,0,0
org.jfree.chart.encoders.ImageEncoderFactory,class,0,1,6,5,1.0,9,13,1,0,4,0,0,15,0.5,1,0,0,0.0,0,0
org.jfree.chart.encoders.ImageFormat,interface,0,3,0,0,0.0,0,0,0,0,0,0,0,0,,1,0,0,0.0,0,0
org.jfree.chart.encoders.KeypointPNGEncoderAdapter,class,0,2,6,6,1.0,9,8,1,0,0,0,0,5,0.2083,1,0,0,0.0,0,0
org.jfree.chart.encoders.SunJPEGEncoderAdapter,class,0,1,6,6,1.0,11,19,1,0,0,0,0,13,0.2083,1,0,0,0.0,0,0
org.jfree.chart.encoders.SunPNGEncoderAdapter,class,0,0,6,6,,8,9,1,0,0,0,0,15,0.2083,1,0,0,0.0,0,0
org.jfree.chart.entity.AxisEntity,class,0,2,7,5,1.0,17,21,3,1,2,1,1,21,0.1429,2,0,1,0.6111,6,6
org.jfree.chart.entity.CategoryItemEntity,class,0,7,14,14,1.0,27,20,2,1,4,1,1,45,0.125,2,0,1,0.5172,2,2
org.jfree.chart.entity.CategoryLabelEntity,class,0,1,4,4,1.0,8,11,2,0,1,0,0,0,0.25,3,0,2,0.7778,3,3
org.jfree.chart.entity.ChartEntity,class,0,4,17,13,1.0,42,41,3,2,4,0,0,62,0.0735,1,11,0,0.0,0,0
org.jfree.chart.entity.ContourEntity,class,0,2,4,4,1.0,10,6,1,0,0,0,0,4,0.25,2,0,1,0.7895,2,2
org.jfree.chart.entity.EntityCollection,interface,0,0,8,8,,8,8,1,1,0,0,0,28,0.125,1,0,0,0.0,0,0
org.jfree.chart.entity.JFreeChartEntity,class,0,2,7,5,1.0,17,21,3,1,2,1,1,21,0.1429,2,0,1,0.6111,6,6
org.jfree.chart.entity.LegendItemEntity,class,0,4,9,9,1.0,15,12,2,1,0,1,1,14,0.1111,2,0,1,0.6087,3,3
org.jfree.chart.entity.PieSectionEntity,class,0,5,11,11,1.0,18,15,3,1,2,1,1,9,0.1136,2,0,1,0.56,3,3
org.jfree.chart.entity.PlotEntity,class,0,2,7,5,1.0,17,21,3,1,2,1,1,21,0.1429,2,0,1,0.6111,6,6
org.jfree.chart.entity.StandardEntityCollection,class,0,2,10,10,1.0,17,22,2,2,3,0,0,0,0.1,1,0,0,0.0,0,0
org.jfree.chart.entity.TickLabelEntity,class,0,1,0,0,1.0,1,0,1,0,0,0,0,0,,2,1,1,1.0,0,0
org.jfree.chart.entity.TitleEntity,class,0,2,7,5,1.0,17,21,3,1,2,1,1,21,0.1429,2,0,1,0.6111,6,6
org.jfree.chart.entity.XYAnnotationEntity,class,0,2,3,3,1.0,8,4,1,0,0,0,0,0,0.3333,2,0,1,0.8421,1,1
org.jfree.chart.entity.XYItemEntity,class,0,4,8,8,1.0,14,12,2,1,0,1,1,24,0.1667,2,0,1,0.6522,2,2
org.jfree.chart.event.AnnotationChangeEvent,class,0,1,1,1,1.0,2,2,3,1,1,1,1,0,,2,0,1,0.8,0,0
org.jfree.chart.event.AnnotationChangeListener,interface,0,0,1,1,,1,1,1,1,0,0,0,0,1.0,1,0,0,0.0,0,0
org.jfree.chart.event.AxisChangeEvent,class,0,1,1,1,1.0,2,1,2,1,0,1,1,0,,2,0,1,0.8,0,0
org.jfree.chart.event.AxisChangeListener,interface,0,0,1,1,,1,1,1,1,0,0,0,0,1.0,1,0,0,0.0,0,0
org.jfree.chart.event.ChartChangeEvent,class,0,2,4,4,1.0,7,4,2,2,0,2,2,6,0.25,1,7,0,0.0,0,0
org.jfree.chart.event.ChartChangeEventType,class,0,5,4,3,0.4,11,7,0,0,0,0,0,0,0.25,1,0,0,0.0,0,0
org.jfree.chart.event.ChartChangeListener,interface,0,0,1,1,,1,1,1,1,0,0,0,0,1.0,1,0,0,0.0,0,0
org.jfree.chart.event.ChartProgressEvent,class,0,5,6,6,0.6,7,6,1,1,0,1,1,15,0.25,1,0,0,0.0,0,0
org.jfree.chart.event.ChartProgressListener,interface,0,0,1,1,,1,1,1,1,0,0,0,0,1.0,1,0,0,0.0,0,0
org.jfree.chart.event.MarkerChangeEvent,class,0,1,1,1,1.0,2,1,2,1,0,1,1,0,,2,0,1,0.8,0,0
org.jfree.chart.event.MarkerChangeListener,interface,0,0,1,1,,1,1,1,1,0,0,0,0,1.0,1,0,0,0.0,0,0
org.jfree.chart.event.OverlayChangeEvent,class,0,0,0,0,,1,0,0,0,0,0,0,0,,1,0,0,0.0,0,0
org.jfree.chart.event.OverlayChangeListener,interface,0,0,1,1,,1,1,1,1,0,0,0,0,1.0,1,0,0,0.0,0,0
org.jfree.chart.event.PlotChangeEvent,class,0,1,1,1,1.0,2,1,2,1,0,1,1,0,,2,0,1,0.8,0,0
org.jfree.chart.event.PlotChangeListener,interface,0,0,1,1,,1,1,1,1,0,0,0,0,1.0,1,0,0,0.0,0,0
org.jfree.chart.event.RendererChangeEvent,class,0,2,2,2,1.0,4,2,1,0,0,0,0,1,,2,0,1,0.6667,0,0
org.jfree.chart.event.RendererChangeListener,interface,0,0,1,1,,1,1,1,1,0,0,0,0,1.0,1,0,0,0.0,0,0
org.jfree.chart.event.TitleChangeEvent,class,0,1,1,1,1.0,2,1,2,1,0,1,1,0,,2,0,1,0.8,0,0
org.jfree.chart.event.TitleChangeListener,interface,0,0,1,1,,1,1,1,1,0,0,0,0,1.0,1,0,0,0.0,0,0
org.jfree.chart.imagemap.DynamicDriveToolTipTagFragmentGenerator,class,0,2,1,1,1.0,3,2,2,0,2,0,0,0,1.0,1,0,0,0.0,0,0
org.jfree.chart.imagemap.ImageMapUtilities,class,0,0,7,7,,26,22,8,3,6,0,0,21,0.4762,1,0,0,0.0,0,0
org.jfree.chart.imagemap.OverLIBToolTipTagFragmentGenerator,class,0,0,1,1,,2,2,2,0,1,0,0,0,1.0,1,0,0,0.0,0,0
org.jfree.chart.imagemap.StandardToolTipTagFragmentGenerator,class,0,0,1,1,,2,2,2,0,1,0,0,0,1.0,1,0,0,0.0,0,0
org.jfree.chart.imagemap.StandardURLTagFragmentGenerator,class,0,0,1,1,,2,1,1,0,0,0,0,0,1.0,1,0,0,0.0,0,0
org.jfree.chart.imagemap.ToolTipTagFragmentGenerator,interface,0,0,1,1,,1,1,0,0,0,0,0,0,1.0,1,0,0,0.0,0,0
org.jfree.chart.imagemap.URLTagFragmentGenerator,interface,0,0,1,1,,1,1,0,0,0,0,0,0,1.0,1,0,0,0.0,0,0
org.jfree.chart.labels.AbstractCategoryItemLabelGenerator,class,1,6,10,8,1.0,30,23,3,1,11,0,0,7,0.3,1,2,0,0.0,0,0
org.jfree.chart.labels.AbstractPieItemLabelGenerator,class,0,4,8,6,1.0,23,17,3,1,5,0,0,0,0.2083,1,2,0,0.0,0,0
org.jfree.chart.labels.AbstractXYItemLabelGenerator,class,0,7,11,10,1.0,35,25,2,1,9,0,0,0,0.1515,1,4,0,0.0,0,0
org.jfree.chart.labels.BoxAndWhiskerToolTipGenerator,class,0,2,2,1,0.5,7,14,4,1,8,0,0,1,0.5,3,0,2,0.8182,2,2
org.jfree.chart.labels.BoxAndWhiskerXYToolTipGenerator,class,0,2,2,1,0.5,8,18,4,1,8,0,0,1,0.5,3,0,2,0.8333,2,2
org.jfree.chart.labels.BubbleXYItemLabelGenerator,class,0,4,7,6,0.5,21,24,5,2,6,0,0,3,0.25,2,0,1,0.5,4,4
org.jfree.chart.labels.CategoryItemLabelGenerator,interface,0,0,3,3,,3,3,1,1,0,0,0,3,1.0,1,0,0,0.0,0,0
org.jfree.chart.labels.CategorySeriesLabelGenerator,interface,0,0,1,1,,1,1,1,1,0,0,0,0,1.0,1,0,0,0.0,0,0
org.jfree.chart.labels.CategoryToolTipGenerator,interface,0,0,1,1,,1,1,1,1,0,0,0,0,1.0,1,0,0,0.0,0,0
org.jfree.chart.labels.ContourToolTipGenerator,interface,0,0,1,1,,1,1,1,1,0,0,0,0,1.0,1,0,0,0.0,0,0
org.jfree.chart.labels.CrosshairLabelGenerator,interface,0,0,1,1,,1,1,1,1,0,0,0,0,1.0,1,0,0,0.0,0,0
org.jfree.chart.labels.CustomXYToolTipGenerator,class,0,2,7,7,1.0,20,15,2,1,0,0,0,1,0.2143,1,0,0,0.0,0,0
org.jfree.chart.labels.HighLowItemLabelGenerator,class,0,3,5,5,1.0,21,19,5,1,8,0,0,0,0.3333,1,0,0,0.0,0,0
org.jfree.chart.labels.IntervalCategoryItemLabelGenerator,class,0,2,1,0,0.5,9,11,4,1,5,0,0,0,1.0,3,0,2,0.9091,1,1
org.jfree.chart.labels.IntervalCategoryToolTipGenerator,class,0,2,2,1,0.5,12,13,3,1,5,0,0,1,0.5,3,0,2,0.8182,2,2
org.jfree.chart.labels.IntervalXYItemLabelGenerator,class,0,1,4,3,0.0,23,26,4,1,10,0,0,6,0.4167,2,0,1,0.6667,3,3
